case_id,activity,timestamp,company,region,material_group,payment_term,variant
a7517a13-c49d-4cce-8644-8fc8dadce7b2,Create Sales Order,2024-03-22 10:56:03,Drystone Austria AG,Europe,Power Drills,30 days from date of invoice,invoice_after_invoice
a7517a13-c49d-4cce-8644-8fc8dadce7b2,Create Delivery,2024-03-24 18:24:25,Drystone Austria AG,Europe,Power Drills,30 days from date of invoice,invoice_after_invoice
a7517a13-c49d-4cce-8644-8fc8dadce7b2,Create Shipment,2024-03-27 03:37:06,Drystone Austria AG,Europe,Power Drills,30 days from date of invoice,invoice_after_invoice
a7517a13-c49d-4cce-8644-8fc8dadce7b2,Issue Goods,2024-03-28 01:29:41,Drystone Austria AG,Europe,Power Drills,30 days from date of invoice,invoice_after_invoice
a7517a13-c49d-4cce-8644-8fc8dadce7b2,Create Invoice,2024-03-29 18:08:22,Drystone Austria AG,Europe,Power Drills,30 days from date of invoice,invoice_after_invoice
a7517a13-c49d-4cce-8644-8fc8dadce7b2,Create Invoice,2024-03-30 05:21:33,Drystone Austria AG,Europe,Power Drills,30 days from date of invoice,invoice_after_invoice
a7517a13-c49d-4cce-8644-8fc8dadce7b2,Clear Invoice,2024-03-31 13:10:01,Drystone Austria AG,Europe,Power Drills,30 days from date of invoice,invoice_after_invoice
9de24115-25c3-44c0-9efb-d106c4b3921d,Receive Purchase Order,2025-01-25 00:00:00,Drystone Italia S.P.A,Europe,Building Materials,60 days from date of invoice,standard_path
9de24115-25c3-44c0-9efb-d106c4b3921d,Create Sales Order,2025-01-25 05:03:44,Drystone Italia S.P.A,Europe,Building Materials,60 days from date of invoice,standard_path
9de24115-25c3-44c0-9efb-d106c4b3921d,Create Delivery,2025-01-26 04:47:18,Drystone Italia S.P.A,Europe,Building Materials,60 days from date of invoice,standard_path
9de24115-25c3-44c0-9efb-d106c4b3921d,Create Shipment,2025-01-28 15:56:21,Drystone Italia S.P.A,Europe,Building Materials,60 days from date of invoice,standard_path
9de24115-25c3-44c0-9efb-d106c4b3921d,Issue Goods,2025-01-30 02:55:49,Drystone Italia S.P.A,Europe,Building Materials,60 days from date of invoice,standard_path
9de24115-25c3-44c0-9efb-d106c4b3921d,Create Invoice,2025-01-30 23:16:53,Drystone Italia S.P.A,Europe,Building Materials,60 days from date of invoice,standard_path
9de24115-25c3-44c0-9efb-d106c4b3921d,Clear Invoice,2025-01-31 17:37:46,Drystone Italia S.P.A,Europe,Building Materials,60 days from date of invoice,standard_path
d52c2fbe-0388-40b1-9aa6-7ed523c53876,Receive Purchase Order,2024-06-25 00:00:00,Drystone Malaysia Co,Asia-Pacific,Power Tools,90 days from date of invoice,standard_path
d52c2fbe-0388-40b1-9aa6-7ed523c53876,Create Sales Order,2024-06-25 09:23:57,Drystone Malaysia Co,Asia-Pacific,Power Tools,90 days from date of invoice,standard_path
d52c2fbe-0388-40b1-9aa6-7ed523c53876,Create Delivery,2024-06-26 05:43:08,Drystone Malaysia Co,Asia-Pacific,Power Tools,90 days from date of invoice,standard_path
d52c2fbe-0388-40b1-9aa6-7ed523c53876,Create Shipment,2024-06-29 14:25:37,Drystone Malaysia Co,Asia-Pacific,Power Tools,90 days from date of invoice,standard_path
d52c2fbe-0388-40b1-9aa6-7ed523c53876,Issue Goods,2024-07-01 12:22:37,Drystone Malaysia Co,Asia-Pacific,Power Tools,90 days from date of invoice,standard_path
d52c2fbe-0388-40b1-9aa6-7ed523c53876,Create Invoice,2024-07-01 15:30:17,Drystone Malaysia Co,Asia-Pacific,Power Tools,90 days from date of invoice,standard_path
d52c2fbe-0388-40b1-9aa6-7ed523c53876,Clear Invoice,2024-07-02 22:10:58,Drystone Malaysia Co,Asia-Pacific,Power Tools,90 days from date of invoice,standard_path
fa45e43d-9296-4aa1-97e7-5873c152feef,Receive Purchase Order,2024-10-01 00:00:00,Drystone India Ltd,Asia-Pacific,Power Drills,30 days from date of invoice,invoice_after_invoice
fa45e43d-9296-4aa1-97e7-5873c152feef,Create Sales Order,2024-10-01 07:52:33,Drystone India Ltd,Asia-Pacific,Power Drills,30 days from date of invoice,invoice_after_invoice
fa45e43d-9296-4aa1-97e7-5873c152feef,Create Delivery,2024-10-02 12:04:54,Drystone India Ltd,Asia-Pacific,Power Drills,30 days from date of invoice,invoice_after_invoice
fa45e43d-9296-4aa1-97e7-5873c152feef,Create Shipment,2024-10-05 05:33:05,Drystone India Ltd,Asia-Pacific,Power Drills,30 days from date of invoice,invoice_after_invoice
fa45e43d-9296-4aa1-97e7-5873c152feef,Issue Goods,2024-10-07 04:01:56,Drystone India Ltd,Asia-Pacific,Power Drills,30 days from date of invoice,invoice_after_invoice
fa45e43d-9296-4aa1-97e7-5873c152feef,Create Invoice,2024-10-07 16:34:08,Drystone India Ltd,Asia-Pacific,Power Drills,30 days from date of invoice,invoice_after_invoice
fa45e43d-9296-4aa1-97e7-5873c152feef,Create Invoice,2024-10-08 10:49:45,Drystone India Ltd,Asia-Pacific,Power Drills,30 days from date of invoice,invoice_after_invoice
fa45e43d-9296-4aa1-97e7-5873c152feef,Clear Invoice,2024-10-09 12:00:25,Drystone India Ltd,Asia-Pacific,Power Drills,30 days from date of invoice,invoice_after_invoice
67258b95-64fd-447a-ada9-2b99d949b672,Receive Purchase Order,2025-02-28 00:00:00,Drystone Australia Ltd,Asia-Pacific,Fasteners,30 days from date of invoice,material_change_path
67258b95-64fd-447a-ada9-2b99d949b672,Create Sales Order,2025-02-28 13:34:48,Drystone Australia Ltd,Asia-Pacific,Fasteners,30 days from date of invoice,material_change_path
67258b95-64fd-447a-ada9-2b99d949b672,Change Material in Sales Order,2025-03-01 20:03:39,Drystone Australia Ltd,Asia-Pacific,Fasteners,30 days from date of invoice,material_change_path
67258b95-64fd-447a-ada9-2b99d949b672,Create Delivery,2025-03-02 08:25:44,Drystone Australia Ltd,Asia-Pacific,Fasteners,30 days from date of invoice,material_change_path
67258b95-64fd-447a-ada9-2b99d949b672,Create Shipment,2025-03-03 11:26:11,Drystone Australia Ltd,Asia-Pacific,Fasteners,30 days from date of invoice,material_change_path
67258b95-64fd-447a-ada9-2b99d949b672,Issue Goods,2025-03-06 08:56:50,Drystone Australia Ltd,Asia-Pacific,Fasteners,30 days from date of invoice,material_change_path
67258b95-64fd-447a-ada9-2b99d949b672,Create Invoice,2025-03-08 17:19:55,Drystone Australia Ltd,Asia-Pacific,Fasteners,30 days from date of invoice,material_change_path
67258b95-64fd-447a-ada9-2b99d949b672,Clear Invoice,2025-03-10 01:43:20,Drystone Australia Ltd,Asia-Pacific,Fasteners,30 days from date of invoice,material_change_path
1a2934a9-8ffc-4dce-9a57-a640f55d0526,Receive Purchase Order,2024-12-26 00:00:00,Drystone India Ltd,Asia-Pacific,Power Drills,60 days from date of invoice,material_change_path
1a2934a9-8ffc-4dce-9a57-a640f55d0526,Create Sales Order,2024-12-26 12:21:44,Drystone India Ltd,Asia-Pacific,Power Drills,60 days from date of invoice,material_change_path
1a2934a9-8ffc-4dce-9a57-a640f55d0526,Change Material in Sales Order,2024-12-27 02:59:42,Drystone India Ltd,Asia-Pacific,Power Drills,60 days from date of invoice,material_change_path
1a2934a9-8ffc-4dce-9a57-a640f55d0526,Create Delivery,2024-12-27 20:27:25,Drystone India Ltd,Asia-Pacific,Power Drills,60 days from date of invoice,material_change_path
1a2934a9-8ffc-4dce-9a57-a640f55d0526,Create Shipment,2024-12-31 00:52:42,Drystone India Ltd,Asia-Pacific,Power Drills,60 days from date of invoice,material_change_path
1a2934a9-8ffc-4dce-9a57-a640f55d0526,Issue Goods,2025-01-01 08:44:12,Drystone India Ltd,Asia-Pacific,Power Drills,60 days from date of invoice,material_change_path
1a2934a9-8ffc-4dce-9a57-a640f55d0526,Create Invoice,2025-01-02 23:14:06,Drystone India Ltd,Asia-Pacific,Power Drills,60 days from date of invoice,material_change_path
1a2934a9-8ffc-4dce-9a57-a640f55d0526,Clear Invoice,2025-01-02 23:28:30,Drystone India Ltd,Asia-Pacific,Power Drills,60 days from date of invoice,material_change_path
b67b5b7c-9f14-4a36-a048-cd9f86853956,Receive Purchase Order,2024-02-10 00:00:00,Drystone Belgium NV,Europe,Fertilizers,45 days from date of invoice,invoice_after_invoice
b67b5b7c-9f14-4a36-a048-cd9f86853956,Create Sales Order,2024-02-10 18:37:36,Drystone Belgium NV,Europe,Fertilizers,45 days from date of invoice,invoice_after_invoice
b67b5b7c-9f14-4a36-a048-cd9f86853956,Create Delivery,2024-02-12 01:14:41,Drystone Belgium NV,Europe,Fertilizers,45 days from date of invoice,invoice_after_invoice
b67b5b7c-9f14-4a36-a048-cd9f86853956,Create Shipment,2024-02-15 04:32:53,Drystone Belgium NV,Europe,Fertilizers,45 days from date of invoice,invoice_after_invoice
b67b5b7c-9f14-4a36-a048-cd9f86853956,Issue Goods,2024-02-15 08:27:41,Drystone Belgium NV,Europe,Fertilizers,45 days from date of invoice,invoice_after_invoice
b67b5b7c-9f14-4a36-a048-cd9f86853956,Create Invoice,2024-02-16 16:30:26,Drystone Belgium NV,Europe,Fertilizers,45 days from date of invoice,invoice_after_invoice
b67b5b7c-9f14-4a36-a048-cd9f86853956,Create Invoice,2024-02-18 10:56:07,Drystone Belgium NV,Europe,Fertilizers,45 days from date of invoice,invoice_after_invoice
b67b5b7c-9f14-4a36-a048-cd9f86853956,Clear Invoice,2024-02-21 01:32:14,Drystone Belgium NV,Europe,Fertilizers,45 days from date of invoice,invoice_after_invoice
a8cce553-92f0-4b0b-a95a-2d94b38ebcf8,Receive Purchase Order,2024-08-20 00:00:00,Drystone US Inc,Americas,Power Drills,30 days from date of invoice,standard_path
a8cce553-92f0-4b0b-a95a-2d94b38ebcf8,Create Sales Order,2024-08-20 05:41:00,Drystone US Inc,Americas,Power Drills,30 days from date of invoice,standard_path
a8cce553-92f0-4b0b-a95a-2d94b38ebcf8,Create Delivery,2024-08-20 18:16:07,Drystone US Inc,Americas,Power Drills,30 days from date of invoice,standard_path
a8cce553-92f0-4b0b-a95a-2d94b38ebcf8,Create Shipment,2024-08-22 19:14:51,Drystone US Inc,Americas,Power Drills,30 days from date of invoice,standard_path
a8cce553-92f0-4b0b-a95a-2d94b38ebcf8,Issue Goods,2024-08-24 00:18:49,Drystone US Inc,Americas,Power Drills,30 days from date of invoice,standard_path
a8cce553-92f0-4b0b-a95a-2d94b38ebcf8,Create Invoice,2024-08-24 12:39:49,Drystone US Inc,Americas,Power Drills,30 days from date of invoice,standard_path
a8cce553-92f0-4b0b-a95a-2d94b38ebcf8,Clear Invoice,2024-08-25 09:46:30,Drystone US Inc,Americas,Power Drills,30 days from date of invoice,standard_path
deb77420-ba43-431b-876f-4ec6bccc8450,Receive Purchase Order,2024-04-17 00:00:00,Drystone India Ltd,Asia-Pacific,Building Materials,45 days from date of invoice,standard_path
deb77420-ba43-431b-876f-4ec6bccc8450,Create Sales Order,2024-04-17 14:59:04,Drystone India Ltd,Asia-Pacific,Building Materials,45 days from date of invoice,standard_path
deb77420-ba43-431b-876f-4ec6bccc8450,Create Delivery,2024-04-18 05:00:09,Drystone India Ltd,Asia-Pacific,Building Materials,45 days from date of invoice,standard_path
deb77420-ba43-431b-876f-4ec6bccc8450,Create Shipment,2024-04-19 17:07:30,Drystone India Ltd,Asia-Pacific,Building Materials,45 days from date of invoice,standard_path
deb77420-ba43-431b-876f-4ec6bccc8450,Issue Goods,2024-04-20 19:35:46,Drystone India Ltd,Asia-Pacific,Building Materials,45 days from date of invoice,standard_path
deb77420-ba43-431b-876f-4ec6bccc8450,Create Invoice,2024-04-21 01:23:25,Drystone India Ltd,Asia-Pacific,Building Materials,45 days from date of invoice,standard_path
deb77420-ba43-431b-876f-4ec6bccc8450,Clear Invoice,2024-04-22 02:11:18,Drystone India Ltd,Asia-Pacific,Building Materials,45 days from date of invoice,standard_path
350fff89-7590-4ccc-9f19-25ce8e4b58ee,Receive Purchase Order,2024-03-28 00:00:00,Drystone Italia S.P.A,Europe,Fertilizers,30 days from date of invoice,manual_price_change_path
350fff89-7590-4ccc-9f19-25ce8e4b58ee,Create Sales Order,2024-03-28 10:49:20,Drystone Italia S.P.A,Europe,Fertilizers,30 days from date of invoice,manual_price_change_path
350fff89-7590-4ccc-9f19-25ce8e4b58ee,Change Manual Price in Sales Order,2024-03-29 05:53:19,Drystone Italia S.P.A,Europe,Fertilizers,30 days from date of invoice,manual_price_change_path
350fff89-7590-4ccc-9f19-25ce8e4b58ee,Create Delivery,2024-03-29 10:34:27,Drystone Italia S.P.A,Europe,Fertilizers,30 days from date of invoice,manual_price_change_path
350fff89-7590-4ccc-9f19-25ce8e4b58ee,Create Shipment,2024-03-30 20:41:18,Drystone Italia S.P.A,Europe,Fertilizers,30 days from date of invoice,manual_price_change_path
350fff89-7590-4ccc-9f19-25ce8e4b58ee,Issue Goods,2024-03-31 23:54:23,Drystone Italia S.P.A,Europe,Fertilizers,30 days from date of invoice,manual_price_change_path
350fff89-7590-4ccc-9f19-25ce8e4b58ee,Create Invoice,2024-04-01 12:50:30,Drystone Italia S.P.A,Europe,Fertilizers,30 days from date of invoice,manual_price_change_path
350fff89-7590-4ccc-9f19-25ce8e4b58ee,Clear Invoice,2024-04-02 08:42:00,Drystone Italia S.P.A,Europe,Fertilizers,30 days from date of invoice,manual_price_change_path
951de63b-46fa-4165-9ed4-4179220a89a5,Receive Purchase Order,2024-05-18 00:00:00,Drystone Deutschland GmbH,Europe,Safety equipment,45 days from date of invoice,price_change_path
951de63b-46fa-4165-9ed4-4179220a89a5,Create Sales Order,2024-05-18 21:03:13,Drystone Deutschland GmbH,Europe,Safety equipment,45 days from date of invoice,price_change_path
951de63b-46fa-4165-9ed4-4179220a89a5,Change Net Price in Sales Order,2024-05-19 23:08:55,Drystone Deutschland GmbH,Europe,Safety equipment,45 days from date of invoice,price_change_path
951de63b-46fa-4165-9ed4-4179220a89a5,Create Delivery,2024-05-20 12:23:06,Drystone Deutschland GmbH,Europe,Safety equipment,45 days from date of invoice,price_change_path
951de63b-46fa-4165-9ed4-4179220a89a5,Create Shipment,2024-05-22 10:35:53,Drystone Deutschland GmbH,Europe,Safety equipment,45 days from date of invoice,price_change_path
951de63b-46fa-4165-9ed4-4179220a89a5,Issue Goods,2024-05-22 14:21:46,Drystone Deutschland GmbH,Europe,Safety equipment,45 days from date of invoice,price_change_path
951de63b-46fa-4165-9ed4-4179220a89a5,Create Invoice,2024-05-23 14:02:41,Drystone Deutschland GmbH,Europe,Safety equipment,45 days from date of invoice,price_change_path
951de63b-46fa-4165-9ed4-4179220a89a5,Clear Invoice,2024-05-24 14:46:03,Drystone Deutschland GmbH,Europe,Safety equipment,45 days from date of invoice,price_change_path
d2da973f-3169-4f75-ba72-0a7b0f3d2ad2,Receive Purchase Order,2025-01-28 00:00:00,Drystone UK Ltd,Europe,Fertilizers,45 days from date of invoice,invoice_before_shipment
d2da973f-3169-4f75-ba72-0a7b0f3d2ad2,Create Sales Order,2025-01-28 05:32:18,Drystone UK Ltd,Europe,Fertilizers,45 days from date of invoice,invoice_before_shipment
d2da973f-3169-4f75-ba72-0a7b0f3d2ad2,Create Invoice,2025-01-28 19:20:51,Drystone UK Ltd,Europe,Fertilizers,45 days from date of invoice,invoice_before_shipment
d2da973f-3169-4f75-ba72-0a7b0f3d2ad2,Create Delivery,2025-01-29 07:08:22,Drystone UK Ltd,Europe,Fertilizers,45 days from date of invoice,invoice_before_shipment
d2da973f-3169-4f75-ba72-0a7b0f3d2ad2,Create Shipment,2025-01-29 17:06:55,Drystone UK Ltd,Europe,Fertilizers,45 days from date of invoice,invoice_before_shipment
d2da973f-3169-4f75-ba72-0a7b0f3d2ad2,Issue Goods,2025-01-30 20:42:54,Drystone UK Ltd,Europe,Fertilizers,45 days from date of invoice,invoice_before_shipment
d2da973f-3169-4f75-ba72-0a7b0f3d2ad2,Clear Invoice,2025-01-31 13:13:35,Drystone UK Ltd,Europe,Fertilizers,45 days from date of invoice,invoice_before_shipment
ba6c05c3-37f8-4b12-a98a-b27a0dc95c5d,Receive Purchase Order,2024-07-24 00:00:00,Drystone Spain Co,Europe,Safety equipment,30 days from date of invoice,rejected_order
ba6c05c3-37f8-4b12-a98a-b27a0dc95c5d,Create Sales Order,2024-07-24 06:06:29,Drystone Spain Co,Europe,Safety equipment,30 days from date of invoice,rejected_order
ba6c05c3-37f8-4b12-a98a-b27a0dc95c5d,Reject Sales Order,2024-07-25 14:46:29,Drystone Spain Co,Europe,Safety equipment,30 days from date of invoice,rejected_order
95f6beea-b14c-405e-8b2b-88b7e956825d,Receive Purchase Order,2024-09-12 00:00:00,Drystone Austria AG,Europe,Safety equipment,60 days from date of invoice,standard_path
95f6beea-b14c-405e-8b2b-88b7e956825d,Create Sales Order,2024-09-12 17:46:49,Drystone Austria AG,Europe,Safety equipment,60 days from date of invoice,standard_path
95f6beea-b14c-405e-8b2b-88b7e956825d,Create Delivery,2024-09-15 06:07:22,Drystone Austria AG,Europe,Safety equipment,60 days from date of invoice,standard_path
95f6beea-b14c-405e-8b2b-88b7e956825d,Create Shipment,2024-09-16 11:11:43,Drystone Austria AG,Europe,Safety equipment,60 days from date of invoice,standard_path
95f6beea-b14c-405e-8b2b-88b7e956825d,Issue Goods,2024-09-17 18:58:44,Drystone Austria AG,Europe,Safety equipment,60 days from date of invoice,standard_path
95f6beea-b14c-405e-8b2b-88b7e956825d,Create Invoice,2024-09-19 01:12:50,Drystone Austria AG,Europe,Safety equipment,60 days from date of invoice,standard_path
95f6beea-b14c-405e-8b2b-88b7e956825d,Clear Invoice,2024-09-19 22:45:50,Drystone Austria AG,Europe,Safety equipment,60 days from date of invoice,standard_path
f8c62321-04af-4004-98b8-ae2229667db1,Receive Purchase Order,2024-03-12 00:00:00,Drystone France SA,Europe,Fertilizers,90 days from date of invoice,standard_path
f8c62321-04af-4004-98b8-ae2229667db1,Create Sales Order,2024-03-12 13:33:43,Drystone France SA,Europe,Fertilizers,90 days from date of invoice,standard_path
f8c62321-04af-4004-98b8-ae2229667db1,Create Delivery,2024-03-13 01:56:23,Drystone France SA,Europe,Fertilizers,90 days from date of invoice,standard_path
f8c62321-04af-4004-98b8-ae2229667db1,Create Shipment,2024-03-15 19:14:33,Drystone France SA,Europe,Fertilizers,90 days from date of invoice,standard_path
f8c62321-04af-4004-98b8-ae2229667db1,Issue Goods,2024-03-16 17:51:05,Drystone France SA,Europe,Fertilizers,90 days from date of invoice,standard_path
f8c62321-04af-4004-98b8-ae2229667db1,Create Invoice,2024-03-18 16:42:38,Drystone France SA,Europe,Fertilizers,90 days from date of invoice,standard_path
f8c62321-04af-4004-98b8-ae2229667db1,Clear Invoice,2024-03-19 08:46:18,Drystone France SA,Europe,Fertilizers,90 days from date of invoice,standard_path
52a267fe-153d-4512-87f2-6d8d6c194cc9,Receive Purchase Order,2024-08-07 00:00:00,Drystone Austria AG,Europe,Agriculture,60 days from date of invoice,invoice_after_invoice
52a267fe-153d-4512-87f2-6d8d6c194cc9,Create Sales Order,2024-08-07 19:05:09,Drystone Austria AG,Europe,Agriculture,60 days from date of invoice,invoice_after_invoice
52a267fe-153d-4512-87f2-6d8d6c194cc9,Create Delivery,2024-08-08 06:09:41,Drystone Austria AG,Europe,Agriculture,60 days from date of invoice,invoice_after_invoice
52a267fe-153d-4512-87f2-6d8d6c194cc9,Create Shipment,2024-08-10 22:18:44,Drystone Austria AG,Europe,Agriculture,60 days from date of invoice,invoice_after_invoice
52a267fe-153d-4512-87f2-6d8d6c194cc9,Issue Goods,2024-08-13 19:51:51,Drystone Austria AG,Europe,Agriculture,60 days from date of invoice,invoice_after_invoice
52a267fe-153d-4512-87f2-6d8d6c194cc9,Create Invoice,2024-08-14 01:30:59,Drystone Austria AG,Europe,Agriculture,60 days from date of invoice,invoice_after_invoice
52a267fe-153d-4512-87f2-6d8d6c194cc9,Create Invoice,2024-08-15 08:58:31,Drystone Austria AG,Europe,Agriculture,60 days from date of invoice,invoice_after_invoice
52a267fe-153d-4512-87f2-6d8d6c194cc9,Clear Invoice,2024-08-16 17:31:03,Drystone Austria AG,Europe,Agriculture,60 days from date of invoice,invoice_after_invoice
02131b76-7fa8-4479-8f25-cae8069c2fb3,Receive Purchase Order,2024-03-11 00:00:00,Drystone Ireland Ltd,Europe,Fasteners,60 days from date of invoice,standard_path
02131b76-7fa8-4479-8f25-cae8069c2fb3,Create Sales Order,2024-03-11 03:38:15,Drystone Ireland Ltd,Europe,Fasteners,60 days from date of invoice,standard_path
02131b76-7fa8-4479-8f25-cae8069c2fb3,Create Delivery,2024-03-11 08:31:49,Drystone Ireland Ltd,Europe,Fasteners,60 days from date of invoice,standard_path
02131b76-7fa8-4479-8f25-cae8069c2fb3,Create Shipment,2024-03-12 20:50:47,Drystone Ireland Ltd,Europe,Fasteners,60 days from date of invoice,standard_path
02131b76-7fa8-4479-8f25-cae8069c2fb3,Issue Goods,2024-03-13 21:26:23,Drystone Ireland Ltd,Europe,Fasteners,60 days from date of invoice,standard_path
02131b76-7fa8-4479-8f25-cae8069c2fb3,Create Invoice,2024-03-14 13:38:36,Drystone Ireland Ltd,Europe,Fasteners,60 days from date of invoice,standard_path
02131b76-7fa8-4479-8f25-cae8069c2fb3,Clear Invoice,2024-03-15 06:32:16,Drystone Ireland Ltd,Europe,Fasteners,60 days from date of invoice,standard_path
2fea73e0-f988-49bb-9c13-00908d7abfd9,Receive Purchase Order,2024-03-19 00:00:00,Drystone Deutschland GmbH,Europe,Power Tools,30 days from date of invoice,rejected_then_continued
2fea73e0-f988-49bb-9c13-00908d7abfd9,Create Sales Order,2024-03-19 13:06:53,Drystone Deutschland GmbH,Europe,Power Tools,30 days from date of invoice,rejected_then_continued
2fea73e0-f988-49bb-9c13-00908d7abfd9,Reject Sales Order,2024-03-20 16:37:54,Drystone Deutschland GmbH,Europe,Power Tools,30 days from date of invoice,rejected_then_continued
2fea73e0-f988-49bb-9c13-00908d7abfd9,Cancel Sales Order Rejection,2024-03-21 01:12:10,Drystone Deutschland GmbH,Europe,Power Tools,30 days from date of invoice,rejected_then_continued
2fea73e0-f988-49bb-9c13-00908d7abfd9,Create Delivery,2024-03-22 23:35:32,Drystone Deutschland GmbH,Europe,Power Tools,30 days from date of invoice,rejected_then_continued
